time,reference,output,control
0.905,1,0.880015,1.0161
0.906,1,0.880151,1.01575
0.907,1,0.880286,1.01539
0.908,1,0.880421,1.01504
0.909,1,0.880555,1.01469
0.91,1,0.880689,1.01434
0.911,1,0.880822,1.014
0.912,1,0.880955,1.01365
0.913,1,0.881088,1.01331
0.914,1,0.881219,1.01297
0.915,1,0.881351,1.01263
0.916,1,0.881482,1.01229
0.917,1,0.881612,1.01195
0.918,1,0.881742,1.01162
0.919,1,0.881872,1.01129
0.92,1,0.882001,1.01095
0.921,1,0.88213,1.01062
0.922,1,0.882258,1.0103
0.923,1,0.882385,1.00997
0.924,1,0.882513,1.00964
0.925,1,0.882639,1.00932
0.926,1,0.882766,1.009
0.927,1,0.882892,1.00868
0.928,1,0.883017,1.00836
0.929,1,0.883142,1.00804
0.93,1,0.883267,1.00773
0.931,1,0.883391,1.00741
0.932,1,0.883515,1.0071
0.933,1,0.883638,1.00679
