time,reference,output,u_sat,u_unsat,integrator,disturbance
0.39,3,0.956497,2.78769,2.78769,-1.7836,0
0.391,3,0.958327,2.78655,2.78655,-1.78156,0
0.392,3,0.960154,2.78542,2.78542,-1.77952,0
0.393,3,0.961979,2.78429,2.78429,-1.77748,0
0.394,3,0.9638,2.78318,2.78318,-1.77544,0
0.395,3,0.965618,2.78206,2.78206,-1.7734,0
0.396,3,0.967433,2.78096,2.78096,-1.77137,0
0.397,3,0.969246,2.77986,2.77986,-1.76933,0
0.398,3,0.971055,2.77877,2.77877,-1.7673,0
0.399,3,0.972862,2.77768,2.77768,-1.76527,0
0.4,3,0.974666,2.7766,2.7766,-1.76325,0
0.401,3,0.976466,2.77552,2.77552,-1.76122,0
0.402,3,0.978264,2.77445,2.77445,-1.7592,0
0.403,3,0.98006,2.77339,2.77339,-1.75718,0
0.404,3,0.981852,2.77233,2.77233,-1.75516,0
0.405,3,0.983641,2.77128,2.77128,-1.75314,0
0.406,3,0.985428,2.77023,2.77023,-1.75112,0
0.407,3,0.987212,2.76919,2.76919,-1.74911,0
0.408,3,0.988993,2.76815,2.76815,-1.7471,0
0.409,3,0.990771,2.76713,2.76713,-1.74508,0
0.41,3,0.992546,2.7661,2.7661,-1.74307,0
0.411,3,0.994319,2.76508,2.76508,-1.74107,0
0.412,3,0.996088,2.76407,2.76407,-1.73906,0
0.413,3,0.997855,2.76307,2.76307,-1.73706,0
0.414,3,0.99962,2.76207,2.76207,-1.73506,0
0.415,3,1.00138,2.76107,2.76107,-1.73306,0
0.416,3,1.00314,2.76008,2.76008,-1.73106,0
0.417,3,1.0049,2.7591,2.7591,-1.72906,0
0.418,3,1.00665,2.75812,2.75812,-1.72706,0
0.419,3,1.0084,2.75715,2.75715,-1.72507,0
0.42,3,1.01015,2.75618,2.75618,-1.72308,0
0.421,3,1.01189,2.75522,2.75522,-1.72109,0
0.422,3,1.01363,2.75426,2.75426,-1.7191,0
0.423,3,1.01537,2.75331,2.75331,-1.71712,0
0.424,3,1.01711,2.75236,2.75236,-1.71513,0
0.425,3,1.01885,2.75142,2.75142,-1.71315,0
