time,reference,output,control
0.808,1,0.688999,0.863206
0.809,1,0.689173,0.862983
0.81,1,0.689347,0.862762
0.811,1,0.68952,0.862541
0.812,1,0.689693,0.862322
0.813,1,0.689865,0.862105
0.814,1,0.690037,0.861888
0.815,1,0.690209,0.861673
0.816,1,0.69038,0.861459
0.817,1,0.690551,0.861247
0.818,1,0.690721,0.861035
0.819,1,0.690891,0.860825
0.82,1,0.691061,0.860616
0.821,1,0.691231,0.860409
0.822,1,0.6914,0.860202
0.823,1,0.691568,0.859997
0.824,1,0.691736,0.859793
0.825,1,0.691904,0.85959
0.826,1,0.692072,0.859389
0.827,1,0.692239,0.859188
0.828,1,0.692406,0.858989
0.829,1,0.692572,0.858791
0.83,1,0.692738,0.858594
0.831,1,0.692904,0.858399
0.832,1,0.693069,0.858204
0.833,1,0.693234,0.858011
0.834,1,0.693398,0.857819
0.835,1,0.693563,0.857627
0.836,1,0.693727,0.857438
0.837,1,0.69389,0.857249
0.838,1,0.694053,0.857061
0.839,1,0.694216,0.856875
0.84,1,0.694379,0.856689
0.841,1,0.694541,0.856505
0.842,1,0.694702,0.856322
0.843,1,0.694864,0.85614
0.844,1,0.695025,0.855959
0.845,1,0.695186,0.855779
0.846,1,0.695346,0.8556
0.847,1,0.695506,0.855423
0.848,1,0.695666,0.855246
0.849,1,0.695825,0.855071
0.85,1,0.695984,0.854896
0.851,1,0.696143,0.854723
0.852,1,0.696302,0.854551
0.853,1,0.69646,0.854379
0.854,1,0.696617,0.854209
0.855,1,0.696775,0.85404
0.856,1,0.696932,0.853872
0.857,1,0.697089,0.853705
0.858,1,0.697245,0.853539
0.859,1,0.697401,0.853374
0.86,1,0.697557,0.85321
0.861,1,0.697713,0.853047
0.862,1,0.697868,0.852885
0.863,1,0.698023,0.852724
0.864,1,0.698177,0.852564
0.865,1,0.698331,0.852405
0.866,1,0.698485,0.852248
0.867,1,0.698639,0.852091
0.868,1,0.698792,0.851935
0.869,1,0.698945,0.85178
0.87,1,0.699098,0.851626
0.871,1,0.69925,0.851473
0.872,1,0.699402,0.851321
0.873,1,0.699554,0.85117
0.874,1,0.699706,0.85102
0.875,1,0.699857,0.85087
0.876,1,0.700008,0.850722
0.877,1,0.700158,0.850575
0.878,1,0.700308,0.850429
0.879,1,0.700458,0.850283
0.88,1,0.700608,0.850139
0.881,1,0.700757,0.849995
0.882,1,0.700907,0.849853
0.883,1,0.701055,0.849711
0.884,1,0.701204,0.84957
0.885,1,0.701352,0.84943
0.886,1,0.7015,0.849291
0.887,1,0.701648,0.849153
0.888,1,0.701795,0.849016
0.889,1,0.701942,0.84888
0.89,1,0.702089,0.848745
0.891,1,0.702235,0.84861
0.892,1,0.702382,0.848477
0.893,1,0.702528,0.848344
0.894,1,0.702673,0.848212
0.895,1,0.702819,0.848081
0.896,1,0.702964,0.847951
0.897,1,0.703109,0.847822
